Name	Critic_Score	Critic_Count	User_Score	User_Count
The Elder Scrolls III: Morrowind	8.7		8.7	
Assassin's Creed IV: Black Flag	8.3		7.8	
Mortal Kombat	8.4		8.4	
Madden NFL 10	8.5		6.1	
BioShock	9.6		8.9	
Metroid Prime	9.7		9.3	
Assassin's Creed: Brotherhood	9.0		8.2	
Medal of Honor	7.5		7.5	
inFAMOUS: Second Son	8.0		7.9	
NBA Street	8.9		8.6	
Jak II	8.7		8.2	
Need for Speed: Hot Pursuit	8.9		7.2	
Skylanders: Spyro's Adventure	8.1		5.6	
Battlefield 3	8.9		7.5	
Mortal Kombat X	8.3		7.7	
The Sims	8.3		7.7	
Killzone 3	8.4		7.9	
Star Wars: The Force Unleashed	7.3		6.7	
Yoshi's Island DS	8.1		7.4	
Saints Row: The Third	8.4		7.6	
Tekken 6	7.9		7.4	
Sonic and the Secret Rings	6.9		6.6	
The Legend of Zelda: A Link to the Past	9.5		9.1	
Onimusha: Warlords	8.6		8.2	
L.A. Noire	8.9		7.8	
Call of Duty 3	8.2		6.5	
Madden NFL 12	7.8		5.9	
LEGO Star Wars II: The Original Trilogy	8.4		9.0	
Killzone: Shadow Fall	7.3		6.8	
Madden NFL 11	8.4		5.7	
Burnout 3: Takedown	9.3		9.1	
Mario vs. Donkey Kong: Mini-Land Mayhem!	7.9		7.7	
Professor Layton and the Last Specter	8.3		8.7	
Call Of Duty 2: Big Red One	7.7		8.2	
Medal of Honor	9.2		8.6	
Fable	8.5		8.5	
Guitar Hero: World Tour	8.5		6.3	
FIFA 17	8.4		5.5	
Tom Clancy's Splinter Cell	8.9		7.7	
Need for Speed: Shift	8.4		6.9	
Medal of Honor Heroes	7.1		7.9	
Final Fantasy XIII-2	7.9		6.6	
Midnight Club: Street Racing	7.8		7.8	
Skate 3	8.0		8.0	
ESPN NFL 2K5	9.0		8.2	
Halo Wars	8.2		7.2	
NBA 2K12	9.0		7.7	
FIFA Soccer 10	9.0		7.5	
Medal of Honor	7.4		6.7	
Harry Potter and the Chamber of Secrets	7.1		7.6	
God of War Collection	9.1		8.7	
NBA Live 2005	8.4		8.1	
Mario Strikers Charged	7.9		8.0	
FIFA Soccer 09	8.7		7.5	
Style Savvy	7.3		7.7	
WWE SmackDown vs. RAW 2007	8.0		8.6	
LEGO Star Wars: The Complete Saga	8.0		7.4	
Madden NFL 08	7.8		7.8	
Monster Hunter Freedom 2	7.2		8.7	
Sonic Adventure 2 Battle	7.3		8.3	
Madden NFL 13	8.3		5.5	
Dragon Age: Origins	8.6		7.9	
Pokémon Colosseum	7.3		8.0	
LittleBigPlanet	8.7		7.8	
Madden NFL 09	8.3		7.0	
Crazy Taxi	8.0		7.9	
Art Academy	7.5		8.0	
NBA 2K14	8.7		4.9	
Skylanders Giants	7.8		7.0	
Deca Sports	5.0		5.4	
Marvel: Ultimate Alliance	8.2		7.5	
Mortal Kombat: Deadly Alliance	7.9		8.8	
Game Party	2.5		4.3	
Bloodborne	9.2		8.6	
Mario Party 4	7.0		7.4	
Pure	8.5		7.7	
NBA 2K13	9.0		8.0	
Saints Row: The Third	8.2		7.7	
Resistance 2	8.7		6.1	
NBA 2K15	8.3		7.0	
Final Fantasy Tactics	8.3		8.2	
Midnight Club: Los Angeles	8.2		8.2	
The Sims: Bustin' Out	8.1		8.4	
LEGO Harry Potter: Years 1-4	7.9		8.0	
Call of Duty: Infinite Warfare	7.8		3.1	
Madden NFL 16	8.4		6.1	
Tom Clancy's Rainbow Six: Vegas 2	8.2		7.8	
Need for Speed Carbon: Own the City	7.3		7.9	
Dragon Ball Z: Budokai 2	6.6		8.2	
pro evolution soccer 2011	7.7		6.8	
ATV Offroad Fury	8.2		8.4	
Need for Speed: ProStreet	6.2		6.2	
Halo: Combat Evolved Anniversary	8.2		8.1	
Guitar Hero	9.1		8.7	
Madden NFL 11	8.3		6.1	
Dead Island	7.1		6.9	
Half-Life 2	9.6		9.1	
The Incredibles	6.2		7.6	
Madden NFL 08	8.5		6.4	
Tony Hawk's Underground 2	8.3		8.8	
Zumba Fitness	4.2		5.5	
Madden NFL 10	8.5		6.8	
Midnight Club: Los Angeles	8.1		8.5	
Kinect: Disneyland Adventures	7.3		2.9	
WWE SmackDown vs Raw 2008	7.1		7.2	
The Legend of Zelda: Majora's Mask 3D	8.9		9.0	
Resident Evil - Code: Veronica X	8.4		8.4	
NBA 2K16	8.6		6.2	
Kinect Sports: Season Two	6.6		6.5	
James Bond 007: Everything or Nothing	8.4		9.1	
Need For Speed: High Stakes	8.6		8.5	
Guild Wars 2	9.0		7.9	
Paper Mario: Sticker Star	7.5		5.6	
Batman: Arkham Origins	7.6		7.7	
LEGO Star Wars: The Complete Saga	8.0		6.7	
Need for Speed Underground 2	7.7		8.7	
Pro Evolution Soccer 2010	7.8		6.7	
FIFA Soccer 09	8.2		6.9	
LEGO Harry Potter: Years 1-4	7.2		7.2	
The Sims 3	7.6		7.1	
Pokemon Ranger: Shadows of Almia	6.8		8.2	
Dead Island	7.1		6.6	
Kirby: Nightmare in Dream Land	8.1		8.9	
Wario Land 4	8.8		8.9	
Sonic's Ultimate Genesis Collection	8.0		8.6	
Far Cry: Primal	7.6		6.3	
Battlefield 1	8.7		8.2	
Onimusha 2: Samurai's Destiny	8.4		9.0	
Paper Mario: The Thousand-Year Door	8.7		9.4	
Madden NFL 12	7.9		5.5	
God of War: Ascension	8.0		7.5	
Guitar Hero III: Legends of Rock	8.3		7.8	
Sonic Advance	8.7		8.1	
Super Monkey Ball: Banana Blitz	7.4		5.7	
New Super Luigi U	7.7		7.9	
Spyro: Season of Ice	7.4		8.0	
Dissidia: Final Fantasy	7.9		8.0	
Madden NFL 25	8.0		5.6	
Borderlands 2	9.1		8.2	
Prince of Persia: The Sands of Time	9.2		8.8	
Monster Hunter Tri	8.4		8.6	
LEGO Marvel Super Heroes	8.0		7.6	
Tom Clancy's Rainbow Six: Siege	7.3		7.3	
Star Wars: The Force Unleashed	7.1		6.6	
Guitar Hero II	9.2		8.1	
Forza Motorsport 5	7.9		5.9	
Rock Band 2	9.2		8.3	
Need for Speed: Hot Pursuit	8.8		7.0	
LEGO Indiana Jones: The Original Adventures	8.0		7.9	
BioShock 2	8.8		8.2	
Star Wars: Knights of the Old Republic	9.4		9.2	
Madden NFL 15	8.1		6.1	
