Name	NA_Sales	EU_Sales	JP_Sales	Other_Sales	Global_Sales
The Elder Scrolls IV: Oblivion	2.256	0.8240000000000001	0.104	0.32	3.504
Need for Speed: Most Wanted	1.624	1.4320000000000002	0.064	0.376	3.4960000000000004
Michael Jackson: The Experience	2.112	1.064	0.008	0.312	3.4880000000000004
Resistance: Fall of Man	1.392	1.376	0.112	0.6000000000000001	3.472
Kingdom Hearts II	1.7600000000000002	0.4639999999999999	1.104	0.136	3.4640000000000004
Super Mario 3D World	1.688	0.928	0.584	0.256	3.4560000000000004
Fable II	2.008	0.992	0.088	0.328	3.416
Namco Museum	2.4000000000000004	0.8880000000000001	0.04	0.056	3.3920000000000003
Batman: Arkham Asylum	1.7920000000000005	1.048	0.056	0.488	3.3840000000000003
Metal Gear Solid 3: Snake Eater	1.168	0.0	0.664	1.544	3.3840000000000003
Assassin's Creed: Revelations	1.128	1.608	0.08	0.5599999999999999	3.376
Fallout 4	2.008	1.056	0.008	0.304	3.376
FIFA 14	0.7360000000000001	2.3120000000000003	0.008	0.32	3.376
Daxter	1.96	0.808	0.0	0.6000000000000001	3.3680000000000003
FIFA Soccer 06	0.6240000000000001	2.04	0.032	0.672	3.3680000000000003
EyeToy Play	0.7040000000000001	1.84	0.16	0.664	3.3600000000000003
Gran Turismo 5 Prologue	1.024	1.4560000000000002	0.4559999999999999	0.416	3.3520000000000003
Assassin's Creed: Revelations	1.8	1.176	0.032	0.344	3.3520000000000003
Street Fighter IV	1.624	0.8320000000000001	0.4639999999999999	0.416	3.3280000000000003
Madden NFL 2003	2.688	0.168	0.008	0.448	3.312
Half-Life	3.224	0.0	0.072	0.0	3.2960000000000003
World of Warcraft: The Burning Crusade	2.056	1.2160000000000002	0.0	0.0	3.272
Battlefield 1	0.8800000000000001	1.72	0.168	0.488	3.264
God of War II	1.856	0.032	0.032	1.336	3.256
Fallout: New Vegas	2.128	0.8240000000000001	0.032	0.264	3.24
Forza Motorsport 2	1.88	1.016	0.024	0.328	3.24
Carnival Games	1.6960000000000002	1.176	0.04	0.336	3.24
Watch Dogs	1.12	1.52	0.088	0.512	3.24
Tekken Tag Tournament	1.344	1.2080000000000002	0.408	0.2799999999999999	3.24
Far Cry 4	0.904	1.7440000000000002	0.08	0.504	3.232
Left 4 Dead 2	2.136	0.6960000000000001	0.04	0.304	3.176
The Witcher 3: Wild Hunt	0.8160000000000001	1.704	0.184	0.472	3.176
Assassin's Creed: Unity	0.952	1.656	0.064	0.496	3.168
Batman: Arkham Knight	1.2240000000000002	1.352	0.08	0.512	3.16
The Legend of Zelda: Skyward Sword	1.624	0.928	0.296	0.304	3.16
Fallout 3	1.72	0.904	0.056	0.472	3.152
Professor Layton and the Diabolical Box	0.7200000000000001	1.408	0.7360000000000001	0.296	3.152
EA Sports Active	1.672	1.08	0.048	0.32	3.12
Tony Hawk's Underground	1.832	0.936	0.008	0.336	3.12
Monster Hunter 4 Ultimate	0.544	0.384	2.096	0.088	3.112
The Elder Scrolls V: Skyrim	0.928	1.6960000000000002	0.0	0.48	3.104
NBA 2K16	1.992	0.528	0.024	0.5519999999999999	3.104
Tekken 5	0.7440000000000001	1.552	0.248	0.5599999999999999	3.096
MotorStorm	1.2240000000000002	1.2800000000000002	0.048	0.536	3.096
World Soccer Winning Eleven 8 International	0.128	1.512	0.8960000000000001	0.544	3.08
Sports Champions	1.704	0.8960000000000001	0.08	0.4	3.072
Call of Duty: Ghosts	1.4240000000000002	1.144	0.04	0.4559999999999999	3.064
Flash Focus: Vision Training in Minutes a Day	0.6880000000000001	1.2480000000000002	0.8400000000000001	0.2799999999999999	3.064
Tom Clancy's The Division	1.08	1.36	0.12	0.48	3.04
Big Brain Academy: Wii Degree	0.8400000000000001	1.528	0.328	0.336	3.032
LEGO Indiana Jones: The Original Adventures	1.92	0.808	0.0	0.288	3.008
The Sims: Unleashed	1.624	1.2480000000000002	0.0	0.136	3.008
Harry Potter and the Sorcerer's Stone	1.096	1.6	0.112	0.176	2.984
Super Paper Mario	1.56	0.6880000000000001	0.472	0.248	2.968
Spyro: Year of the Dragon	1.544	1.2640000000000002	0.0	0.152	2.968
Assassin's Creed IV: Black Flag	1.064	1.344	0.104	0.4559999999999999	2.968
FIFA Soccer 2005	0.4639999999999999	1.984	0.032	0.472	2.9600000000000004
Tony Hawk's Pro Skater 4	1.704	0.944	0.008	0.2799999999999999	2.936
MySims	1.2640000000000002	1.2720000000000002	0.064	0.328	2.9280000000000004
Midnight Club 3: DUB Edition	1.32	0.968	0.0	0.6320000000000001	2.92
SOCOM: U.S. Navy SEALs	2.024	0.6480000000000001	0.048	0.192	2.92
