Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
1,2007.0,9,94,2.624,1.312,0.056,0.448,4.432,8.1,7.7,2
1,2009.0,4,54,2.3920000000000003,1.52,0.08,0.4,4.392,9.2,8,0
10,2001.0,6,60,2.5120000000000005,0.992,0.7280000000000001,0.16,4.392,8.4,7.8,0
8,2008.0,3,14,0.376,0.44,3.3040000000000003,0.272,4.384,8.1,8.7,1
2,2011.0,0,100,2.168,1.4800000000000002,0.088,0.6480000000000001,4.384,9.6,8.6,1
14,2014.0,0,89,2.248,1.752,0.0,0.376,4.384,9.7,7.9,2
10,2001.0,4,60,2.096,1.312,0.792,0.184,4.376,9.3,8.3,0
0,2001.0,6,96,1.656,1.832,0.192,0.656,4.336,6.6,7.1,0
2,2008.0,2,3,2.184,1.4640000000000002,0.0,0.664,4.312,8.5,7.6,2
11,2016.0,2,76,1.4800000000000002,2.0,0.152,0.68,4.304,9.3,7.9,1
2,2009.0,3,81,1.392,0.968,1.4960000000000002,0.408,4.264,8.3,7.3,1
12,2000.0,3,82,1.2960000000000005,0.6160000000000001,2.224,0.112,4.24,9.4,8.9,1
1,2012.0,0,94,2.504,1.352,0.024,0.352,4.232,8.4,6.7,2
0,2003.0,3,26,1.536,0.8640000000000001,1.688,0.136,4.232,8.5,6.6,1
14,2014.0,2,3,2.5760000000000005,1.2400000000000002,0.008,0.384,4.216,8.1,5.4,2
1,2009.0,0,94,2.488,1.2400000000000002,0.064,0.408,4.208,9.0,8.8,2
16,2012.0,6,60,1.84,1.072,1.016,0.256,4.176,8.4,8.1,0
0,2004.0,3,81,0.52,0.6000000000000001,2.888,0.16,4.168,8.9,8.8,1
4,2007.0,11,60,0.968,1.944,0.8240000000000001,0.416,4.152,8.5,8.6,0
1,2012.0,0,26,0.8720000000000001,2.776,0.024,0.4559999999999999,4.128,9.0,6.1,0
6,2012.0,3,3,1.952,1.7280000000000002,0.0,0.432,4.112,8.8,4,2
0,2003.0,2,26,1.584,1.784,0.104,0.6400000000000001,4.104,6.8,7.6,1
0,2006.0,5,64,3.048,0.504,0.0,0.544,4.096,9.2,8.5,1
1,2010.0,3,54,2.872,0.8640000000000001,0.04,0.304,4.08,8.0,6.5,2
2,2009.0,0,14,1.568,1.128,0.8640000000000001,0.512,4.072,8.4,7.5,2
