Name	Platform	Year_of_Release	Genre	Publisher	Developer	Rating
Pro Evolution Soccer 2008	PS2	2007.0	Sports	Konami Digital Entertainment		E
Resident Evil 4	PS2	2005.0	Action	Capcom		M
Guitar Hero: World Tour	Wii	2008.0	Misc	Activision		T
FIFA Soccer 10	PS3	2009.0	Sports	Electronic Arts		E
Star Wars: Battlefront	PS2	2004.0	Shooter	LucasArts		T
The Simpsons: Road Rage	PS2	2001.0	Racing	Electronic Arts		T
Luigi's Mansion	GC	2001.0	Action	Nintendo		E
Battlefield 4	PS4	2013.0	Shooter	Electronic Arts		M
Star Wars: Battlefront II	PS2	2005.0	Shooter	LucasArts		T
Cooking Mama 2: Dinner With Friends	DS	2007.0	Simulation	505 Games		E
Grand Theft Auto: Liberty City Stories	PS2	2006.0	Action	Take-Two Interactive		M
The Getaway	PS2	2002.0	Action	Sony Computer Entertainment		M
James Bond 007: Agent Under Fire	PS2	2001.0	Shooter	Electronic Arts		T
FIFA Soccer 11	X360	2010.0	Sports	Electronic Arts		E
Left 4 Dead	X360	2008.0	Shooter	Electronic Arts		M
Assassin's Creed: Unity	XOne	2014.0	Action	Ubisoft		M
Resident Evil 5	X360	2009.0	Action	Capcom		M
Assassin's Creed: Brotherhood	X360	2010.0	Action	Ubisoft		M
Battlefield 4	PS3	2013.0	Shooter	Electronic Arts		M
Batman: Arkham Asylum	X360	2009.0	Action	Eidos Interactive		T
Battlefield 4	X360	2013.0	Shooter	Electronic Arts		M
Battlefield: Bad Company 2	X360	2010.0	Shooter	Electronic Arts		M
Guitar Hero: On Tour	DS	2008.0	Misc	Activision		E10+
Clubhouse Games	DS	2006.0	Misc	Nintendo		E
Borderlands	X360	2009.0	Shooter	Take-Two Interactive		M
Tekken 4	PS2	2002.0	Fighting	Namco Bandai Games		T
Grand Theft Auto 2	PS	1998.0	Action	Take-Two Interactive		T
Metal Gear Solid V: The Phantom Pain	PS4	2015.0	Action	Konami Digital Entertainment		M
Spider-Man 2	PS2	2004.0	Action	Activision		T
FIFA Soccer 2003	PS2	2002.0	Sports	Electronic Arts		E
LittleBigPlanet 2	PS3	2011.0	Platform	Sony Computer Entertainment		E
Crash Bash	PS	2000.0	Misc	Sony Computer Entertainment		E
Assassin's Creed Syndicate	PS4	2015.0	Action	Ubisoft		M
LEGO Batman: The Videogame	X360	2008.0	Action	Warner Bros. Interactive Entertainment		E10+
Destiny	XOne	2014.0	Shooter	Activision		T
Far Cry 3	PS3	2012.0	Shooter	Ubisoft		M
James Bond 007: Nightfire	PS2	2002.0	Shooter	Electronic Arts		T
Star Wars Episode III: Revenge of the Sith	PS2	2005.0	Action	LucasArts		T
The Legend of Zelda: Spirit Tracks	DS	2009.0	Action	Nintendo		E10+
Max Payne	PS2	2001.0	Shooter	Take-Two Interactive		M
Assassin's Creed IV: Black Flag	X360	2013.0	Action	Ubisoft		M
The Lord of the Rings: The Return of the King	PS2	2003.0	Action	Electronic Arts		T
Gears of War: Ultimate Edition	XOne	2015.0	Shooter	Microsoft Game Studios		M
True Crime: Streets of LA	PS2	2003.0	Action	Activision		M
Professor Layton and the Unwound Future	DS	2008.0	Puzzle	Nintendo		E10+
FIFA 16	XOne	2015.0	Sports	Electronic Arts		E
Wii Music	Wii	2008.0	Misc	Nintendo		E
Madden NFL 16	PS4	2015.0	Sports	Electronic Arts		E
Gran Turismo 6	PS3	2013.0	Racing	Sony Computer Entertainment		E
Halo: The Master Chief Collection	XOne	2014.0	Shooter	Microsoft Game Studios		M
Super Mario Maker	WiiU	2015.0	Platform	Nintendo		E
God of War: Chains of Olympus	PSP	2008.0	Action	Sony Computer Entertainment		M
Enter the Matrix	PS2	2003.0	Action	Atari		T
Crisis Core: Final Fantasy VII	PSP	2007.0	Role-Playing	Square Enix		T
Dance Central	X360	2010.0	Misc	MTV Games		T
L.A. Noire	PS3	2011.0	Adventure	Take-Two Interactive		M
Ace Combat 04: Shattered Skies	PS2	2001.0	Simulation	Sony Computer Entertainment Europe		E
Animal Crossing	GC	2001.0	Simulation	Nintendo		E
FIFA Soccer 08	PS2	2007.0	Sports	Electronic Arts		E
Spider-Man	PS	2000.0	Action	Activision		E
Mario Party 9	Wii	2012.0	Misc	Nintendo		E
Sonic Rush	DS	2005.0	Platform	Sega		E
Rhythm Heaven	DS	2008.0	Misc	Nintendo		E
Fallout: New Vegas	PS3	2010.0	Role-Playing	Bethesda Softworks		M
Personal Trainer: Cooking	DS	2006.0	Misc	Nintendo		E
The Elder Scrolls IV: Oblivion	PS3	2007.0	Role-Playing	Ubisoft		M
The Legend of Zelda: A Link Between Worlds	3DS	2013.0	Action	Nintendo		E
Resident Evil 6	PS3	2012.0	Shooter	Capcom		M
Mass Effect 2	X360	2010.0	Role-Playing	Electronic Arts		M
Dragon Ball Z: Budokai	PS2	2002.0	Fighting	Atari		T
Madden NFL 2002	PS2	2001.0	Sports	Electronic Arts		E
The Sims: Vacation	PC	2002.0	Simulation	Electronic Arts		T
Animal Crossing: Happy Home Designer	3DS	2015.0	Simulation	Nintendo		E
The Sims 4	PC	2014.0	Simulation	Electronic Arts		T
Borderlands 2	X360	2012.0	Shooter	Take-Two Interactive		M
LEGO Batman: The Videogame	DS	2008.0	Action	Warner Bros. Interactive Entertainment		E10+
Kung Fu Panda	X360	2008.0	Action	Activision		E10+
Mass Effect 3	X360	2012.0	Role-Playing	Electronic Arts		M
Heavy Rain	PS3	2010.0	Adventure	Sony Computer Entertainment		M
Saints Row 2	X360	2008.0	Action	THQ		M
Tom Clancy's Splinter Cell	XB	2002.0	Action	Ubisoft		T
FIFA 14	PS4	2013.0	Sports	Electronic Arts		E
Killzone 2	PS3	2009.0	Shooter	Sony Computer Entertainment		M
Far Cry 3	X360	2012.0	Shooter	Ubisoft		M
Epic Mickey	Wii	2010.0	Platform	Disney Interactive Studios		E
NBA 2K13	X360	2012.0	Sports	Take-Two Interactive		E
